wav	labels
./data/BirdSong_audio_16k_10s/aldfly/XC376468_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_3.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_6.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_7.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135460_3.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_3.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_5.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_6.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC376468_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_4.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_5.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC194087_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_4.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144674_3.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC479502_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135460_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144674_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC479502_3.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144674_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135460_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC479502_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC317903_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC479502_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144675_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144674_1.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135460_0.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC189589_2.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135883_4.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC144672_8.wav	aldfly
./data/BirdSong_audio_16k_10s/aldfly/XC135883_3.wav	aldfly
