wav	labels
./data/BirdSong_audio_16k/aldfly/XC144674.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC135460.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC194087.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC135883.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189589.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC317903.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC135459.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC376468.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC144675.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC373885.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC479502.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC154310.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC188432.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC420402.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC479504.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC139577.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC193116.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC142065.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC137570.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC154449.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC420909.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC180091.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC144672.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC142066.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC247799.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC381871.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189267.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189263.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189265.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC140298.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC269063.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189266.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC134874.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC142329.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC142067.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC374636.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189262.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC371412.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC330449.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC188434.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189042.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC157462.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189269.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC318899.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189268.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189264.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC188813.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC374638.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC2628.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC182735.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC253455.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC370932.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC414551.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC167789.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189043.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC178481.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC167791.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC244459.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC244458.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC178485.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189044.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC247801.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC331564.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC188377.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC178480.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC179600.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC294255.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC179417.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC418144.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC189045.wav	aldfly
./data/BirdSong_audio_16k/aldfly/XC380033.wav	aldfly
