wav	labels
./data/Emotions/Angry/1025_MTI_ANG_XX.wav	Angry
./data/Emotions/Angry/1052_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/YAF_bought_angry.wav	Angry
./data/Emotions/Angry/1028_IOM_ANG_XX.wav	Angry
./data/Emotions/Angry/1071_IEO_ANG_MD.wav	Angry
./data/Emotions/Angry/1026_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/OAF_mouse_angry.wav	Angry
./data/Emotions/Angry/1023_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1080_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/1015_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1053_TAI_ANG_XX.wav	Angry
./data/Emotions/Angry/OAF_chain_angry.wav	Angry
./data/Emotions/Angry/1062_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1086_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/1089_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/1039_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/1091_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/1024_IEO_ANG_MD.wav	Angry
./data/Emotions/Angry/1084_IWL_ANG_XX.wav	Angry
./data/Emotions/Angry/OAF_mop_angry.wav	Angry
./data/Emotions/Angry/1071_IOM_ANG_XX.wav	Angry
./data/Emotions/Angry/OAF_nag_angry.wav	Angry
./data/Emotions/Angry/1059_MTI_ANG_XX.wav	Angry
./data/Emotions/Angry/1024_IOM_ANG_XX.wav	Angry
./data/Emotions/Angry/1032_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/1010_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1061_TIE_ANG_XX.wav	Angry
./data/Emotions/Angry/YAF_came_angry.wav	Angry
./data/Emotions/Angry/YAF_jail_angry.wav	Angry
./data/Emotions/Angry/1047_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/1089_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/OAF_kite_angry.wav	Angry
./data/Emotions/Angry/OAF_hush_angry.wav	Angry
./data/Emotions/Angry/1083_TAI_ANG_XX.wav	Angry
./data/Emotions/Angry/1039_TIE_ANG_XX.wav	Angry
./data/Emotions/Angry/1029_DFA_ANG_XX.wav	Angry
./data/Emotions/Angry/1065_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/1050_DFA_ANG_XX.wav	Angry
./data/Emotions/Angry/1032_TAI_ANG_XX.wav	Angry
./data/Emotions/Angry/1066_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/1055_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1054_IWW_ANG_XX.wav	Angry
./data/Emotions/Angry/1085_ITS_ANG_XX.wav	Angry
./data/Emotions/Angry/1049_WSI_ANG_XX.wav	Angry
./data/Emotions/Angry/1017_TAI_ANG_XX.wav	Angry
./data/Emotions/Angry/OAF_red_angry.wav	Angry
./data/Emotions/Angry/1022_MTI_ANG_XX.wav	Angry
./data/Emotions/Angry/1070_WSI_ANG_XX.wav	Angry
./data/Emotions/Angry/YAF_dip_angry.wav	Angry
./data/Emotions/Angry/1031_MTI_ANG_XX.wav	Angry
./data/Emotions/Angry/1072_DFA_ANG_XX.wav	Angry
./data/Emotions/Angry/YAF_choice_angry.wav	Angry
./data/Emotions/Angry/1071_ITH_ANG_XX.wav	Angry
./data/Emotions/Angry/YAF_five_angry.wav	Angry
./data/Emotions/Angry/1081_IEO_ANG_HI.wav	Angry
./data/Emotions/Angry/OAF_bath_angry.wav	Angry
./data/Emotions/Angry/1018_WSI_ANG_XX.wav	Angry
./data/Emotions/Angry/1067_IEO_ANG_MD.wav	Angry
./data/Emotions/Angry/1084_IEO_ANG_LO.wav	Angry
