wav	labels
./data/event_04s_audio_16k/bird/bird02_11.wav	bird
./data/event_04s_audio_16k/bird/bird08_1.wav	bird
./data/event_04s_audio_16k/bird/bird15_10.wav	bird
./data/event_04s_audio_16k/bird/bird15_38.wav	bird
./data/event_04s_audio_16k/bird/bird12_19.wav	bird
./data/event_04s_audio_16k/bird/bird17_6.wav	bird
./data/event_04s_audio_16k/bird/bird11_0.wav	bird
./data/event_04s_audio_16k/bird/bird05_15.wav	bird
./data/event_04s_audio_16k/bird/bird13_59.wav	bird
./data/event_04s_audio_16k/bird/bird07_10.wav	bird
./data/event_04s_audio_16k/bird/bird07_38.wav	bird
./data/event_04s_audio_16k/bird/bird12_25.wav	bird
./data/event_04s_audio_16k/bird/bird09_15.wav	bird
./data/event_04s_audio_16k/bird/bird15_4.wav	bird
./data/event_04s_audio_16k/bird/bird13_2.wav	bird
./data/event_04s_audio_16k/bird/bird17_14.wav	bird
./data/event_04s_audio_16k/bird/bird10_21.wav	bird
./data/event_04s_audio_16k/bird/bird17_15.wav	bird
./data/event_04s_audio_16k/bird/bird13_3.wav	bird
./data/event_04s_audio_16k/bird/bird10_20.wav	bird
./data/event_04s_audio_16k/bird/bird17_28.wav	bird
./data/event_04s_audio_16k/bird/bird07_11.wav	bird
./data/event_04s_audio_16k/bird/bird07_39.wav	bird
./data/event_04s_audio_16k/bird/bird09_14.wav	bird
./data/event_04s_audio_16k/bird/bird17_29.wav	bird
./data/event_04s_audio_16k/bird/bird11_1.wav	bird
./data/event_04s_audio_16k/bird/bird13_58.wav	bird
./data/event_04s_audio_16k/bird/bird15_11.wav	bird
./data/event_04s_audio_16k/bird/bird12_18.wav	bird
./data/event_04s_audio_16k/bird/bird15_5.wav	bird
./data/event_04s_audio_16k/bird/bird05_14.wav	bird
./data/event_04s_audio_16k/bird/bird12_30.wav	bird
./data/event_04s_audio_16k/bird/bird12_24.wav	bird
./data/event_04s_audio_16k/bird/bird15_39.wav	bird
./data/event_04s_audio_16k/bird/bird15_7.wav	bird
./data/event_04s_audio_16k/bird/bird08_0.wav	bird
./data/event_04s_audio_16k/bird/bird17_7.wav	bird
./data/event_04s_audio_16k/bird/bird12_26.wav	bird
./data/event_04s_audio_16k/bird/bird08_2.wav	bird
./data/event_04s_audio_16k/bird/bird17_5.wav	bird
./data/event_04s_audio_16k/bird/bird05_16.wav	bird
./data/event_04s_audio_16k/bird/bird02_9.wav	bird
./data/event_04s_audio_16k/bird/bird12_32.wav	bird
./data/event_04s_audio_16k/bird/bird15_13.wav	bird
./data/event_04s_audio_16k/bird/bird07_13.wav	bird
./data/event_04s_audio_16k/bird/bird09_16.wav	bird
./data/event_04s_audio_16k/bird/bird10_23.wav	bird
./data/event_04s_audio_16k/bird/bird17_16.wav	bird
./data/event_04s_audio_16k/bird/bird11_3.wav	bird
./data/event_04s_audio_16k/bird/bird13_0.wav	bird
./data/event_04s_audio_16k/bird/bird07_12.wav	bird
./data/event_04s_audio_16k/bird/bird02_8.wav	bird
./data/event_04s_audio_16k/bird/bird11_2.wav	bird
./data/event_04s_audio_16k/bird/bird17_17.wav	bird
./data/event_04s_audio_16k/bird/bird13_1.wav	bird
./data/event_04s_audio_16k/bird/bird11_6.wav	bird
./data/event_04s_audio_16k/bird/bird15_2.wav	bird
./data/event_04s_audio_16k/bird/bird05_13.wav	bird
./data/event_04s_audio_16k/bird/bird17_13.wav	bird
./data/event_04s_audio_16k/bird/bird07_16.wav	bird
./data/event_04s_audio_16k/bird/bird09_13.wav	bird
./data/event_04s_audio_16k/bird/bird15_16.wav	bird
./data/event_04s_audio_16k/bird/bird08_7.wav	bird
./data/event_04s_audio_16k/bird/bird12_37.wav	bird
./data/event_04s_audio_16k/bird/bird12_23.wav	bird
./data/event_04s_audio_16k/bird/bird06_8.wav	bird
./data/event_04s_audio_16k/bird/bird17_0.wav	bird
./data/event_04s_audio_16k/bird/bird08_3.wav	bird
./data/event_04s_audio_16k/bird/bird12_27.wav	bird
./data/event_04s_audio_16k/bird/bird10_22.wav	bird
./data/event_04s_audio_16k/bird/bird17_4.wav	bird
./data/event_04s_audio_16k/bird/bird09_17.wav	bird
./data/event_04s_audio_16k/bird/bird15_12.wav	bird
./data/event_04s_audio_16k/bird/bird15_6.wav	bird
./data/event_04s_audio_16k/bird/bird12_33.wav	bird
./data/event_04s_audio_16k/bird/bird10_26.wav	bird
./data/event_04s_audio_16k/bird/bird15_17.wav	bird
./data/event_04s_audio_16k/bird/bird15_3.wav	bird
./data/event_04s_audio_16k/bird/bird08_4.wav	bird
./data/event_04s_audio_16k/bird/bird12_34.wav	bird
./data/event_04s_audio_16k/bird/bird15_15.wav	bird
./data/event_04s_audio_16k/bird/bird12_22.wav	bird
./data/event_04s_audio_16k/bird/bird12_36.wav	bird
./data/event_04s_audio_16k/bird/bird13_5.wav	bird
./data/event_04s_audio_16k/bird/bird10_32.wav	bird
./data/event_04s_audio_16k/bird/bird07_17.wav	bird
./data/event_04s_audio_16k/bird/bird09_12.wav	bird
./data/event_04s_audio_16k/bird/bird17_1.wav	bird
./data/event_04s_audio_16k/bird/bird05_12.wav	bird
./data/event_04s_audio_16k/bird/bird06_9.wav	bird
./data/event_04s_audio_16k/bird/bird13_4.wav	bird
./data/event_04s_audio_16k/bird/bird10_27.wav	bird
./data/event_04s_audio_16k/bird/bird17_12.wav	bird
./data/event_04s_audio_16k/bird/bird11_7.wav	bird
./data/event_04s_audio_16k/bird/bird15_1.wav	bird
./data/event_04s_audio_16k/bird/bird12_20.wav	bird
./data/event_04s_audio_16k/bird/bird05_10.wav	bird
./data/event_04s_audio_16k/bird/bird15_29.wav	bird
./data/event_04s_audio_16k/bird/bird17_3.wav	bird
./data/event_04s_audio_16k/bird/bird17_11.wav	bird
./data/event_04s_audio_16k/bird/bird09_11.wav	bird
./data/event_04s_audio_16k/bird/bird07_14.wav	bird
./data/event_04s_audio_16k/bird/bird13_49.wav	bird
./data/event_04s_audio_16k/bird/bird10_24.wav	bird
./data/event_04s_audio_16k/bird/bird17_38.wav	bird
./data/event_04s_audio_16k/bird/bird07_29.wav	bird
./data/event_04s_audio_16k/bird/bird13_48.wav	bird
./data/event_04s_audio_16k/bird/bird11_5.wav	bird
./data/event_04s_audio_16k/bird/bird10_19.wav	bird
./data/event_04s_audio_16k/bird/bird17_10.wav	bird
./data/event_04s_audio_16k/bird/bird13_7.wav	bird
./data/event_04s_audio_16k/bird/bird10_25.wav	bird
./data/event_04s_audio_16k/bird/bird10_31.wav	bird
./data/event_04s_audio_16k/bird/bird09_10.wav	bird
./data/event_04s_audio_16k/bird/bird13_60.wav	bird
./data/event_04s_audio_16k/bird/bird07_15.wav	bird
./data/event_04s_audio_16k/bird/bird04_9.wav	bird
./data/event_04s_audio_16k/bird/bird08_6.wav	bird
./data/event_04s_audio_16k/bird/bird10_30.wav	bird
./data/event_04s_audio_16k/bird/bird12_21.wav	bird
./data/event_04s_audio_16k/bird/bird08_5.wav	bird
./data/event_04s_audio_16k/bird/bird15_14.wav	bird
./data/event_04s_audio_16k/bird/bird12_52.wav	bird
./data/event_04s_audio_16k/bird/bird01_12.wav	bird
./data/event_04s_audio_16k/bird/bird12_46.wav	bird
./data/event_04s_audio_16k/bird/bird15_0.wav	bird
./data/event_04s_audio_16k/bird/bird11_4.wav	bird
./data/event_04s_audio_16k/bird/bird05_11.wav	bird
./data/event_04s_audio_16k/bird/bird17_39.wav	bird
./data/event_04s_audio_16k/bird/bird13_6.wav	bird
./data/event_04s_audio_16k/bird/bird10_18.wav	bird
./data/event_04s_audio_16k/bird/bird07_28.wav	bird
./data/event_04s_audio_16k/bird/bird04_8.wav	bird
./data/event_04s_audio_16k/bird/bird17_2.wav	bird
./data/event_04s_audio_16k/bird/bird15_28.wav	bird
./data/event_04s_audio_16k/bird/bird15_58.wav	bird
./data/event_04s_audio_16k/bird/bird08_21.wav	bird
./data/event_04s_audio_16k/bird/bird01_11.wav	bird
./data/event_04s_audio_16k/bird/bird08_35.wav	bird
./data/event_04s_audio_16k/bird/bird12_0.wav	bird
./data/event_04s_audio_16k/bird/bird12_47.wav	bird
./data/event_04s_audio_16k/bird/bird12_51.wav	bird
./data/event_04s_audio_16k/bird/bird12_2.wav	bird
./data/event_04s_audio_16k/bird/bird12_45.wav	bird
./data/event_04s_audio_16k/bird/bird01_8.wav	bird
./data/event_04s_audio_16k/bird/bird08_37.wav	bird
./data/event_04s_audio_16k/bird/bird03_8.wav	bird
./data/event_04s_audio_16k/bird/bird09_2.wav	bird
./data/event_04s_audio_16k/bird/bird13_13.wav	bird
./data/event_04s_audio_16k/bird/bird09_3.wav	bird
./data/event_04s_audio_16k/bird/bird11_16.wav	bird
./data/event_04s_audio_16k/bird/bird10_2.wav	bird
./data/event_04s_audio_16k/bird/bird08_23.wav	bird
./data/event_04s_audio_16k/bird/bird13_12.wav	bird
./data/event_04s_audio_16k/bird/bird04_22.wav	bird
./data/event_04s_audio_16k/bird/bird17_62.wav	bird
./data/event_04s_audio_16k/bird/bird04_23.wav	bird
./data/event_04s_audio_16k/bird/bird11_17.wav	bird
./data/event_04s_audio_16k/bird/bird08_36.wav	bird
./data/event_04s_audio_16k/bird/bird12_35.wav	bird
./data/event_04s_audio_16k/bird/bird08_22.wav	bird
./data/event_04s_audio_16k/bird/bird12_1.wav	bird
./data/event_04s_audio_16k/bird/bird10_3.wav	bird
./data/event_04s_audio_16k/bird/bird12_53.wav	bird
./data/event_04s_audio_16k/bird/bird13_10.wav	bird
./data/event_04s_audio_16k/bird/bird13_11.wav	bird
./data/event_04s_audio_16k/bird/bird17_49.wav	bird
./data/event_04s_audio_16k/bird/bird09_0.wav	bird
./data/event_04s_audio_16k/bird/bird04_20.wav	bird
./data/event_04s_audio_16k/bird/bird17_48.wav	bird
./data/event_04s_audio_16k/bird/bird13_39.wav	bird
./data/event_04s_audio_16k/bird/bird09_1.wav	bird
./data/event_04s_audio_16k/bird/bird17_60.wav	bird
./data/event_04s_audio_16k/bird/bird04_21.wav	bird
./data/event_04s_audio_16k/bird/bird17_61.wav	bird
./data/event_04s_audio_16k/bird/bird11_14.wav	bird
./data/event_04s_audio_16k/bird/bird11_28.wav	bird
./data/event_04s_audio_16k/bird/bird10_0.wav	bird
./data/event_04s_audio_16k/bird/bird13_38.wav	bird
./data/event_04s_audio_16k/bird/bird17_58.wav	bird
./data/event_04s_audio_16k/bird/bird04_19.wav	bird
./data/event_04s_audio_16k/bird/bird17_59.wav	bird
./data/event_04s_audio_16k/bird/bird14_0.wav	bird
./data/event_04s_audio_16k/bird/bird09_4.wav	bird
./data/event_04s_audio_16k/bird/bird05_9.wav	bird
./data/event_04s_audio_16k/bird/bird12_40.wav	bird
./data/event_04s_audio_16k/bird/bird11_11.wav	bird
./data/event_04s_audio_16k/bird/bird13_14.wav	bird
./data/event_04s_audio_16k/bird/bird13_28.wav	bird
./data/event_04s_audio_16k/bird/bird16_3.wav	bird
./data/event_04s_audio_16k/bird/bird08_18.wav	bird
./data/event_04s_audio_16k/bird/bird12_54.wav	bird
./data/event_04s_audio_16k/bird/bird12_7.wav	bird
./data/event_04s_audio_16k/bird/bird15_49.wav	bird
