wav	labels
./data/event_audio_16k/bird/bird01.wav	bird
./data/event_audio_16k/bird/bird02.wav	bird
./data/event_audio_16k/bird/bird03.wav	bird
./data/event_audio_16k/bird/bird04.wav	bird
./data/event_audio_16k/bird/bird05.wav	bird
./data/event_audio_16k/bird/bird06.wav	bird
./data/event_audio_16k/bird/bird08.wav	bird
./data/event_audio_16k/bird/bird07.wav	bird
./data/event_audio_16k/bird/bird09.wav	bird
./data/event_audio_16k/bird/bird10.wav	bird
./data/event_audio_16k/bird/bird11.wav	bird
./data/event_audio_16k/bird/bird12.wav	bird
./data/event_audio_16k/bird/bird18.wav	bird
./data/event_audio_16k/bird/bird13.wav	bird
./data/event_audio_16k/citycar/cityCar01.wav	citycar
./data/event_audio_16k/citycar/cityCar02.wav	citycar
./data/event_audio_16k/citycar/cityCar03.wav	citycar
./data/event_audio_16k/citycar/cityCar04.wav	citycar
./data/event_audio_16k/citycar/cityCar05.wav	citycar
./data/event_audio_16k/citycar/cityCar06.wav	citycar
./data/event_audio_16k/citycar/cityCar07.wav	citycar
./data/event_audio_16k/citycar/cityCar08.wav	citycar
./data/event_audio_16k/citycar/cityCar09.wav	citycar
./data/event_audio_16k/citycar/cityCar10.wav	citycar
./data/event_audio_16k/citycar/cityCar11.wav	citycar
./data/event_audio_16k/citycar/cityCar12.wav	citycar
./data/event_audio_16k/citycar/cityCar13.wav	citycar
./data/event_audio_16k/citycar/cityCar14.wav	citycar
./data/event_audio_16k/citycar/cityCar15.wav	citycar
./data/event_audio_16k/citycar/cityCar16.wav	citycar
./data/event_audio_16k/citycar/cityCar17.wav	citycar
./data/event_audio_16k/citycar/cityCar18.wav	citycar
./data/event_audio_16k/citycar/cityCar19.wav	citycar
./data/event_audio_16k/citycar/cityCar20.wav	citycar
./data/event_audio_16k/citycar/cityCar21.wav	citycar
./data/event_audio_16k/citycar/cityCar22.wav	citycar
./data/event_audio_16k/construction/constructionSite01.wav	construction
./data/event_audio_16k/construction/constructionSite02.wav	construction
./data/event_audio_16k/construction/constructionSite03.wav	construction
./data/event_audio_16k/construction/constructionSite04.wav	construction
./data/event_audio_16k/construction/constructionSite05.wav	construction
./data/event_audio_16k/dog/dog19.wav	dog
./data/event_audio_16k/dog/dog20.wav	dog
./data/event_audio_16k/dog/dog21.wav	dog
./data/event_audio_16k/dog/dog18.wav	dog
./data/event_audio_16k/dog/dog23.wav	dog
./data/event_audio_16k/dog/dog08.wav	dog
./data/event_audio_16k/dog/dog11.wav	dog
./data/event_audio_16k/dog/dog15.wav	dog
./data/event_audio_16k/dog/dog16.wav	dog
./data/event_audio_16k/dog/dog17.wav	dog
./data/event_audio_16k/dog/dog22.wav	dog
./data/event_audio_16k/dog/dog02.wav	dog
./data/event_audio_16k/dog/dog03.wav	dog
./data/event_audio_16k/dog/dog04.wav	dog
./data/event_audio_16k/dog/dog06.wav	dog
./data/event_audio_16k/dog/dog07.wav	dog
./data/event_audio_16k/dog/dog12.wav	dog
./data/event_audio_16k/dog/dog01.wav	dog
./data/event_audio_16k/plane/plane01.wav	plane
./data/event_audio_16k/plane/plane08.wav	plane
./data/event_audio_16k/plane/plane09.wav	plane
./data/event_audio_16k/plane/plane02.wav	plane
./data/event_audio_16k/plane/plane11.wav	plane
./data/event_audio_16k/plane/plane03.wav	plane
./data/event_audio_16k/plane/plane06.wav	plane
./data/event_audio_16k/plane/plane05.wav	plane
./data/event_audio_16k/roadcar/roadCar01.wav	roadcar
./data/event_audio_16k/roadcar/roadCar02.wav	roadcar
./data/event_audio_16k/roadcar/roadCar04.wav	roadcar
./data/event_audio_16k/roadcar/roadCar06.wav	roadcar
./data/event_audio_16k/roadcar/roadCar05.wav	roadcar
./data/event_audio_16k/roadcar/roadCar07.wav	roadcar
./data/event_audio_16k/roadcar/roadCar08.wav	roadcar
./data/event_audio_16k/roadcar/roadCar09.wav	roadcar
./data/event_audio_16k/roadcar/roadCar10.wav	roadcar
./data/event_audio_16k/roadcar/roadCar11.wav	roadcar
./data/event_audio_16k/roadcar/roadCar12.wav	roadcar
./data/event_audio_16k/roadcar/roadCar13.wav	roadcar
./data/event_audio_16k/roadcar/roadCar14.wav	roadcar
./data/event_audio_16k/roadcar/roadCar15.wav	roadcar
./data/event_audio_16k/siren/siren03.wav	siren
./data/event_audio_16k/siren/siren04.wav	siren
./data/event_audio_16k/siren/siren05.wav	siren
./data/event_audio_16k/siren/siren02.wav	siren
./data/event_audio_16k/step/stepCity07.wav	step
./data/event_audio_16k/step/stepCity06.wav	step
./data/event_audio_16k/step/stepCity05.wav	step
