wav	labels
./SAVEE/JK_a13.wav	angry
./SAVEE/JK_a04.wav	angry
./SAVEE/JK_a07.wav	angry
./SAVEE/JK_a11.wav	angry
./SAVEE/JK_d04.wav	disgust
./SAVEE/JK_a15.wav	angry
./SAVEE/JK_d01.wav	disgust
./SAVEE/JK_d02.wav	disgust
./SAVEE/JK_a06.wav	angry
./SAVEE/JK_a09.wav	angry
./SAVEE/JK_a02.wav	angry
./SAVEE/JK_a01.wav	angry
./SAVEE/JK_a05.wav	angry
./SAVEE/JK_a08.wav	angry
./SAVEE/JK_d03.wav	disgust
./SAVEE/JK_a10.wav	angry
./SAVEE/JK_a03.wav	angry
./SAVEE/JK_a12.wav	angry
./SAVEE/JK_a14.wav	angry
./SAVEE/JK_f06.wav	fear
./SAVEE/JK_h09.wav	happy
./SAVEE/JK_f02.wav	fear
./SAVEE/JK_f12.wav	fear
./SAVEE/JK_d05.wav	disgust
./SAVEE/JK_h02.wav	happy
./SAVEE/JK_h07.wav	happy
./SAVEE/JK_f05.wav	fear
./SAVEE/JK_h04.wav	happy
./SAVEE/JK_h14.wav	happy
./SAVEE/JK_d10.wav	disgust
./SAVEE/JK_f08.wav	fear
./SAVEE/JK_n08.wav	neutral
./SAVEE/JK_f07.wav	fear
./SAVEE/JK_h13.wav	happy
./SAVEE/JK_n04.wav	neutral
./SAVEE/JK_f09.wav	fear
./SAVEE/JK_f11.wav	fear
./SAVEE/JK_d06.wav	disgust
./SAVEE/JK_f14.wav	fear
./SAVEE/JK_h08.wav	happy
./SAVEE/JK_n10.wav	neutral
./SAVEE/JK_f01.wav	fear
./SAVEE/JK_f04.wav	fear
./SAVEE/JK_h10.wav	happy
./SAVEE/JK_d13.wav	disgust
./SAVEE/JK_f10.wav	fear
./SAVEE/JK_h01.wav	happy
./SAVEE/JK_d12.wav	disgust
./SAVEE/JK_n02.wav	neutral
./SAVEE/JK_h15.wav	happy
./SAVEE/JK_d11.wav	disgust
./SAVEE/JK_h12.wav	happy
./SAVEE/JK_n07.wav	neutral
./SAVEE/JK_d14.wav	disgust
./SAVEE/JK_n01.wav	neutral
./SAVEE/JK_n03.wav	neutral
./SAVEE/JK_n05.wav	neutral
./SAVEE/JK_n06.wav	neutral
./SAVEE/JK_d15.wav	disgust
./SAVEE/JK_f13.wav	fear
./SAVEE/JK_h03.wav	happy
./SAVEE/JK_f15.wav	fear
./SAVEE/JK_d07.wav	disgust
./SAVEE/JK_f03.wav	fear
./SAVEE/JK_d09.wav	disgust
./SAVEE/JK_n09.wav	neutral
./SAVEE/JK_h11.wav	happy
./SAVEE/JK_h06.wav	happy
./SAVEE/JK_d08.wav	disgust
./SAVEE/JK_h05.wav	happy
./SAVEE/JK_n21.wav	neutral
./SAVEE/JK_n11.wav	neutral
./SAVEE/JK_n23.wav	neutral
./SAVEE/JK_su05.wav	surprise
./SAVEE/JK_su12.wav	surprise
./SAVEE/JK_n14.wav	neutral
./SAVEE/JK_n26.wav	neutral
./SAVEE/JK_sa03.wav	sad
./SAVEE/JK_su08.wav	surprise
./SAVEE/JK_sa06.wav	sad
./SAVEE/JK_su13.wav	surprise
./SAVEE/JK_n29.wav	neutral
./SAVEE/JK_su10.wav	surprise
./SAVEE/JK_su14.wav	surprise
./SAVEE/JK_n30.wav	neutral
./SAVEE/JK_sa13.wav	sad
./SAVEE/JK_n27.wav	neutral
./SAVEE/JK_su11.wav	surprise
./SAVEE/JK_n12.wav	neutral
./SAVEE/JK_sa05.wav	sad
./SAVEE/JK_n22.wav	neutral
./SAVEE/JK_n18.wav	neutral
./SAVEE/JK_sa08.wav	sad
./SAVEE/JK_su02.wav	surprise
./SAVEE/JK_su04.wav	surprise
./SAVEE/JK_n28.wav	neutral
./SAVEE/JK_su06.wav	surprise
./SAVEE/JK_n15.wav	neutral
./SAVEE/JK_n20.wav	neutral
./SAVEE/JK_su03.wav	surprise
./SAVEE/JK_sa07.wav	sad
./SAVEE/JK_n16.wav	neutral
./SAVEE/JK_sa09.wav	sad
./SAVEE/JK_sa14.wav	sad
./SAVEE/JK_sa11.wav	sad
./SAVEE/JK_n24.wav	neutral
./SAVEE/JK_su01.wav	surprise
./SAVEE/JK_sa01.wav	sad
./SAVEE/JK_n25.wav	neutral
./SAVEE/JK_sa15.wav	sad
./SAVEE/JK_n13.wav	neutral
./SAVEE/JK_n17.wav	neutral
./SAVEE/JK_su09.wav	surprise
./SAVEE/JK_sa02.wav	sad
./SAVEE/JK_sa04.wav	sad
./SAVEE/JK_sa12.wav	sad
./SAVEE/JK_su07.wav	surprise
./SAVEE/JK_sa10.wav	sad
./SAVEE/JK_n19.wav	neutral
./SAVEE/KL_a04.wav	angry
./SAVEE/KL_d05.wav	disgust
./SAVEE/KL_a03.wav	angry
./SAVEE/KL_d02.wav	disgust
./SAVEE/KL_f12.wav	fear
./SAVEE/KL_h09.wav	happy
./SAVEE/KL_a02.wav	angry
./SAVEE/KL_a01.wav	angry
./SAVEE/KL_d08.wav	disgust
./SAVEE/KL_h11.wav	happy
./SAVEE/KL_f08.wav	fear
./SAVEE/KL_d15.wav	disgust
./SAVEE/KL_a15.wav	angry
./SAVEE/KL_d14.wav	disgust
./SAVEE/KL_a06.wav	angry
./SAVEE/KL_h13.wav	happy
./SAVEE/KL_f11.wav	fear
./SAVEE/KL_h14.wav	happy
./SAVEE/KL_f05.wav	fear
./SAVEE/KL_a05.wav	angry
./SAVEE/KL_a14.wav	angry
./SAVEE/KL_d06.wav	disgust
./SAVEE/KL_h07.wav	happy
./SAVEE/KL_f10.wav	fear
./SAVEE/KL_a11.wav	angry
./SAVEE/KL_a08.wav	angry
./SAVEE/KL_a07.wav	angry
./SAVEE/KL_h12.wav	happy
./SAVEE/KL_d03.wav	disgust
./SAVEE/KL_f09.wav	fear
./SAVEE/KL_d07.wav	disgust
./SAVEE/KL_f07.wav	fear
./SAVEE/KL_f14.wav	fear
./SAVEE/KL_d09.wav	disgust
./SAVEE/KL_a12.wav	angry
./SAVEE/KL_a13.wav	angry
